OSEBuildingID,Campus,NonResidential,Age_Built,AgeBuilt_classe,NumberofBuildings,NumberofFloors_classe,PropertyGFATotal_log,PropertyGFAParking_log,TotalPropertyUseTypes,PrimaryPropertyType,LargestPropertyUseTypeGFA_rel,SecondLargestPropertyUseTypeGFA_rel,ThirdLargestPropertyUseTypeGFA_rel,NaturalGas(kBtu)_bin,SteamUse(kBtu)_bin,ENERGYSTARScore,ENERGYSTARScore_imputed,SiteEnergyUse(kBtu),TotalGHGEmissions
1,0,1,95,3,1.0,3,11.390023097868895,0.0,1,Hotel,1.0,0.0,0.0,1,1,60.0,60.0,7226362.5,249.98
2,0,1,26,1,1.0,3,11.547974025246633,9.620129451564402,3,Hotel,0.8099183129598517,0.1454531409922175,0.04462854604793079,1,0,61.0,61.0,8387933.0,295.86
3,0,1,53,2,1.0,3,13.770629294080045,12.189531593509932,1,Hotel,0.791219629540534,0.0,0.0,1,1,43.0,43.0,72587024.0,2089.28
5,0,1,96,3,1.0,3,11.023877640745798,0.0,1,Hotel,1.0,0.0,0.0,1,1,56.0,56.00000000000001,6794584.0,286.43
8,0,1,42,1,1.0,3,12.075855753873482,11.034905792929415,3,Hotel,0.7030698257204693,0.38733910468162663,0.0,1,0,75.0,75.0,14172606.0,505.01
9,0,1,23,0,1.0,1,11.48544120936798,10.524037158179487,1,Other,0.9130622481703807,0.0,0.0,1,0,,35.2,12086616.0,301.81
10,0,1,96,3,1.0,3,11.326704314635162,0.0,1,Hotel,0.9800501156515035,0.0,0.0,1,0,27.0,27.0,5758795.0,176.14
11,0,1,96,3,1.0,3,11.540170913860424,0.0,1,Other,1.0,0.0,0.0,1,1,,45.6,6298131.5,221.51
12,0,1,118,4,1.0,3,12.007530239208668,0.0,1,Hotel,1.0,0.0,0.0,1,0,43.0,43.0,13723820.0,392.16
15,0,1,53,2,1.0,3,11.9392645217297,9.866823568164536,1,Hotel,0.8741275634454797,0.0,0.0,1,1,30.0,30.0,16016644.0,691.26
16,0,1,24,0,1.0,3,12.716429159281265,11.021281360620167,1,Hotel,1.0103969073402645,0.0,0.0,1,1,36.0,36.0,26941110.0,740.97
17,0,1,94,3,1.0,3,11.082296383198514,0.0,1,Hotel,1.0,0.0,0.0,1,1,48.0,48.0,6596057.5,328.23
18,0,1,42,1,1.0,3,12.66334874732981,10.961295207644392,2,Hotel,0.9353034638172887,0.18230617308958322,0.0,1,1,58.0,57.99999999999999,22325364.0,648.62
19,0,1,100,0,1.0,3,11.431617790897278,10.134638955251866,2,Hotel,0.7309903460245146,0.2733485193621868,0.0,1,1,35.0,35.0,10750010.0,511.39
21,0,1,18,0,1.0,3,12.928781055513184,10.950824090522445,3,Other,0.8857111650485436,0.11893203883495146,0.0026067961165048546,0,1,,79.6,18588860.0,181.38
22,0,1,92,3,1.0,3,11.55129966608712,0.0,3,Other,0.8661258192106707,0.38494480853807583,0.0,1,1,,52.39999999999999,9956396.0,433.86
23,0,1,39,1,1.0,3,12.939118194198793,11.350418300109132,2,Hotel,0.8367641088591601,0.20418899733593415,0.0,1,0,31.0,31.0,33556756.0,802.89
24,0,1,115,4,1.0,0,10.95872250123467,0.0,5,Mixed Use Property,0.28618672979182624,0.26987746292557263,0.16955023323818144,1,1,,52.19999999999999,7606084.5,273.02
25,0,1,106,4,1.0,3,11.555534661493144,0.0,1,Hotel,1.0,0.0,0.0,1,1,39.0,39.0,10154608.0,349.32
26,0,1,106,4,1.0,3,13.199992713700011,0.0,1,Other,0.9940595158783033,0.0,0.0,1,0,76.0,76.0,44984468.0,1265.29
27,0,1,37,1,1.0,3,12.861712644003578,0.0,1,Other,1.0,0.0,0.0,1,0,,66.60000000000001,47859812.0,1699.45
29,0,1,21,0,1.0,3,11.391808126699964,10.32833036107053,2,Hotel,0.6547543796279574,0.34524562037204265,0.0,1,0,84.0,84.0,3663534.5,90.01
30,0,1,94,3,1.0,3,11.748740394204184,0.0,1,University,0.9874163658338139,0.0,0.0,1,0,,58.99999999999999,11343686.0,388.04
31,0,1,92,3,1.0,1,11.115800481137065,0.0,1,Other,1.0,0.0,0.0,0,0,,70.0,1310236.625,9.13
32,0,1,31,1,1.0,3,11.974625968475259,10.31896899591978,4,Hotel,0.7101010864907106,0.2646903123345686,0.028359676321560917,1,0,,58.4,5328051.5,256.57
33,0,1,21,0,1.0,3,12.054476200865155,10.552735090806054,1,Hotel,0.7500552756217053,0.0,0.0,1,0,57.0,57.0,11061916.0,328.63
35,0,1,44,1,1.0,0,11.13328890939415,9.692828247710418,1,Hotel,0.7015640988159626,0.0,0.0,1,0,57.0,57.0,4456714.5,128.44
38,0,1,116,4,1.0,0,11.376681826100373,0.0,4,Small- and Mid-Sized Office,0.46919621370126746,0.20802869519378422,0.04935710847791708,1,0,,53.99999999999999,4145920.5,157.77
40,0,1,28,1,1.0,2,11.312912331044872,0.0,1,Hotel,1.0,0.0,0.0,1,0,29.0,28.999999999999996,6668568.5,215.0
41,0,1,67,2,1.0,1,11.611475844199505,0.0,1,Self-Storage Facility,0.2376400014498532,0.0,0.0,1,0,,50.0,318364.8125,3.93
43,1,0,30,1,1.0,0,13.111981673523193,0.0,5,Mixed Use Property,1.5298574272232157,1.2932209726474482,0.9290935362292482,1,0,8.0,8.0,448385312.0,16870.98
46,0,1,61,2,3.0,1,13.478772686065135,0.0,3,Warehouse,0.8626303222960531,0.3865031963534264,0.09942654688801911,0,0,,58.00000000000001,44731160.0,311.84
50,0,0,32,1,1.0,1,10.914852072639958,0.0,1,K-12 School,1.0,0.0,0.0,1,0,97.0,97.0,1650279.25,31.47
